review_id,subcategory,master_name,date,score,size,experience,verified,header,text,review_length,main_category
15,Womens-sandals,Linear,08/05/2025,5 star rating,Too Big,Not specified,Verified Buyer,Cute sandals,"The sandal is cute and definitely comfortable to wear all day, and it isn’t heavy on the foot.",94.0,Woman's
16,Womens-sandals,Linear,05/06/2025,5 star rating,Too Big,"Quality, Stylish, Comfortable",Verified Buyer,Very comfortable and stylish.,Very comfortable and stylish.,29.0,Woman's
17,Womens-sandals,Linear,22/06/2025,5 star rating,True to size,"Comfortable, Stylish",Verified Reviewer,Statement sandals,I get compliments everytime I wear them! They are super comfy and so stylish!,77.0,Woman's
18,Womens-sandals,Linear,11/05/2025,5 star rating,Not specified,Not specified,Verified Reviewer,Stunning,These sandals are stunning! Cannot wait to get them! So excited!,64.0,Woman's
19,Womens-sandals,Linear,07/05/2025,5 star rating,Not specified,Not specified,Verified Reviewer,Love this sandal but size up!,I'm usually a 9. 5 and def needed the size 10. Very comfortable and get lots of compliments.,92.0,Woman's
20,Womens-sandals,Linear,19/03/2025,4 star rating,Small,Not specified,Verified Buyer,Sooooo cute,"Love these sandals Must buy ladies.
 I always have to size up in Steve Madden because my feet are wide.",103.0,Woman's
21,Womens-sandals,Linear,29/03/2025,5 star rating,True to size,Not specified,Unverified,Wow,Woow. The quality is super. Very beautiful,42.0,Woman's
22,Womens-sandals,Linear,28/03/2025,5 star rating,True to size,Not specified,Verified Buyer,Cute and Stylish,Cute and Stylish,16.0,Woman's
23,Womens-sandals,Bigschmonj,20/06/2025,5 star rating,Too Big,"Comfortable, Stylish, Quality, Value",Verified Buyer,I love them. At first,"I love them. At first I was concerned about my pinky toe. However the longer I wore them, the more comfortable they became.",123.0,Woman's
24,Womens-sandals,Bigschmonj,15/06/2025,1 star rating,Big,"Quality, Comfortable",Verified Buyer,Shoe is good quality however,"Shoe is good quality however every time I walk on them, my feet slip out of the shoe no matter how I tighten the straps",119.0,Woman's
25,Womens-sandals,Bigschmonj,03/06/2025,5 star rating,True to size,"Quality, Stylish, Comfortable",Verified Buyer,Super Cute and Comfy!,I am so glad I purchased these shoes. They are easy to slip on and pair with any outfit. I have already received compliments. They are also comfortable and true to size.,169.0,Woman's
26,Womens-sandals,Bigschmonj,12/06/2025,3 star rating,True to size,Value,Verified Buyer,Cute style,"I like the style, color, and feel. However the straps are not comfortable and dig into my foot.",95.0,Woman's
27,Womens-sandals,Bigschmonj,16/06/2025,3 star rating,True to size,"Comfortable, Stylish",Verified Buyer,Cute,While these are cute they are also comfy. A bit clunky but are stylish as well. Have had many compliments on my jelly shoes!,124.0,Woman's
28,Womens-sandals,Bigschmonj,12/06/2025,5 star rating,True to size,"Stylish, Quality, Value, Comfortable",Verified Buyer,Happy tears,"Love them , gives you a inch or two in height , very comfortable dont slip off your feet",88.0,Woman's
29,Womens-sandals,Bigschmonj,22/05/2025,5 star rating,Too Small,"Value, Quality, Stylish, Comfortable",Verified Buyer,I just love it !!,I just love it !! They are very soft and cute 🥰,47.0,Woman's
30,Womens-sandals,Bigschmonj,06/06/2025,4 star rating,True to size,Stylish,Verified Buyer,Beautiful shoes,"I love the shoes, the 4/5 rating is because of the comfort, it's not that comfortable",85.0,Woman's
31,Womens-sandals,Bigschmonj,11/06/2025,5 star rating,Big,"Value, Stylish, Comfortable, Quality",Verified Buyer,What more could you ask for,"Stylish, comfortable, and affordable. Perfect summer shoe.",58.0,Woman's
32,Womens-sandals,Bigschmonj,05/06/2025,5 star rating,Too Big,Comfortable,Verified Buyer,Very comfortable sandals. Yes I,Very comfortable sandals. Yes I recommend this product.,55.0,Woman's
33,Womens-sandals,Bigschmonj,27/05/2025,5 star rating,True to size,"Value, Stylish, Quality, Comfortable",Verified Buyer,Love the color,"Like walking on air. Love the color, style, and fit. Wish it came in more vibrant colors",88.0,Woman's
34,Womens-sandals,Bigschmonj,04/06/2025,5 star rating,True to size,"Quality, Value, Comfortable, Stylish",Verified Buyer,S,Beautiful and comfortable,25.0,Woman's
35,Womens-sandals,Bigschmonj,17/05/2025,5 star rating,Not specified,Not specified,Verified Reviewer,Love,Love! They are super comfortable. Walked in them for a few hours at foodieland and my feet didnt hurt at all!,109.0,Woman's
36,Womens-sandals,Bigschmonj,17/04/2025,3 star rating,Big,Not specified,Verified Buyer,Cute but not for me,They didn’t look good on my feet and they were too big,54.0,Woman's
37,Womens-sandals,Bigschmonj,01/03/2025,5 star rating,Too Big,Not specified,Verified Buyer,Hermosas,"Muy cómodas, corren a la talla exacta",37.0,Woman's
38,Womens-sandals,Bigschmonj,17/03/2025,5 star rating,Not specified,Not specified,Verified Reviewer,test,Test,4.0,Woman's
39,Womens-sandals,Bigmona,29/05/2025,5 star rating,True to size,Comfortable,Verified Buyer,Love!,I love these. True to size. I have a very narrow foot and they are able to be adjusted to be comfortable. Only dislike is the foot bed material. It makes a tooting sound when u walk after wearing for a while. I put a couple strips of kt tape inside the shoe and the texture of the tape keeps it from making,306.0,Woman's
40,Womens-sandals,Bigmona,18/06/2025,5 star rating,True to size,"Comfortable, Stylish",Verified Buyer,Perfect Purchase,Purchased for my girlfriend as a surprise birthday gift and she absolutely LOVED them. She wore them several times during her birthday weekend in spite of the fact that she had brought other pairs of shoes to wear with specific outfits. She kept saying they go with almost every outfit she brought. Overall,306.0,Woman's
41,Womens-sandals,Bigmona,15/06/2025,4 star rating,Small,"Comfortable, Stylish, Quality",Verified Buyer,Cute Summer Vibes!,"Love the shoes! They're so cute. . . pays ""homage"" to the little girl that used to wear those as a kid! great upgrade! Always recommend sizing up a half size with some Steve Madden shoes tho! Passing on the info fyi!🫡",217.0,Woman's
42,Womens-sandals,Bigmona,28/05/2025,5 star rating,True to size,"Comfortable, Value, Stylish, Quality",Verified Buyer,BIGMONA NATURAL RAFFIA,The BIGMONA NATURAL RAFFIA sandals are really cute and versatile - perfect for casual wear but stylish enough to dress up. I'm excited to wear them! The only issue is that the strap across the top of the foot isn't adjustable and runs quite short. I wouldn't recommend these if you have wide feet or need,304.0,Woman's
43,Womens-sandals,Bigmona,19/06/2025,5 star rating,True to size,"Stylish, Comfortable, Value, Quality",Verified Buyer,Perfect,They are so cute. I get compliments on them constantly! Light weight and good for narrow feet.,94.0,Woman's
44,Womens-sandals,Bigmona,12/06/2025,5 star rating,True to size,"Stylish, Comfortable, Quality",Verified Buyer,Shoe Fanatic,I truly love these shoes they go with so many outfits. The only downside is that I wish I had gotten them in a 10 cause they run a whole size small. Im normally a 9 however I ordered a 9. 5 because my regular Mona sandals run a half size smaller. Oh well I still like them.,273.0,Woman's
45,Womens-sandals,Bigmona,19/06/2025,4 star rating,True to size,"Quality, Comfortable, Stylish",Verified Buyer,Super comfy and stylish,These shoes are true to size. They are comfortable and perfect for vacation or summer. The bands make it perfect to adjust. The platform gives me height for long pants when I don’t want to wear heels.,200.0,Woman's
46,Womens-sandals,Bigmona,01/06/2025,5 star rating,Not specified,Not specified,Verified Buyer,Great product,"I love these sandals. They are so comfortable, easy to put on due to the velcro straps and look wonderful with everything. The best sandal to wear for the entire summer!",169.0,Woman's
47,Womens-sandals,Bigmona,06/06/2025,5 star rating,True to size,"Stylish, Comfortable, Quality, Value",Verified Buyer,So comfortable,The sandals are really comfortable and stylish. My favorite pair for this summer. The neutral color goes with everything. I love it!,132.0,Woman's
48,Womens-sandals,Bigmona,17/06/2025,5 star rating,True to size,"Quality, Comfortable, Stylish, Value",Verified Buyer,It looks heavy but very,"It looks heavy but very light when I use it. It is true to size. I have a lot of compliments , one time someone stop me to ask where I bought this sandal.",154.0,Woman's
49,Womens-sandals,Bigmona,18/06/2025,4 star rating,True to size,Comfortable,Verified Buyer,Comfortable sandal!,Very comfortable and true to size. I wear a size five and they fit perfect! Would recommend these sandals.,106.0,Woman's
50,Womens-sandals,Bigmona,14/06/2025,5 star rating,Small,Stylish,Verified Buyer,"Cute, a little heavy, not the most comfortable",On trend. Runs a tad small. Heavy. Clunky. Uncomfortable because the material is rough on the skin,98.0,Woman's
51,Womens-sandals,Bigmona,21/06/2025,5 star rating,Small,"Stylish, Comfortable, Quality",Verified Reviewer,Great summer sandals,Comfortable and trendy. Haven't worn yet. Only downside is runs half size small. Had to order 9 instead of 8. 5.,112.0,Woman's
52,Womens-sandals,Bigmona,11/06/2025,5 star rating,Too Big,"Comfortable, Quality, Value, Stylish",Verified Buyer,Cute and comfy,Love the style and they are comfortable. Every time I wear them I get asked where I bought them. They are super cute!,117.0,Woman's
53,Womens-sandals,Bigmona,17/06/2025,5 star rating,True to size,Comfortable,Verified Buyer,Super comfortable,I have gotten many compliments on these shoes. Extremely comfortable and seem to form to your feet.,99.0,Woman's
54,Womens-sandals,Bigmona,30/05/2025,5 star rating,Too Big,"Stylish, Comfortable, Value, Quality",Verified Buyer,The perfect summer sandal. So,The perfect summer sandal. So comfy and cute. You can wear with just about anything. 10 out of 10 recommend buying!!,116.0,Woman's
55,Womens-sandals,Bigmona,29/05/2025,5 star rating,Not specified,Not specified,Unverified,The BEST sandals!,"I absolutely love these shoes. They are so comfortable. I went to the zoo and wore these sandals, I was very comfortable the entire day! I was very surprised, as usually thicker wedge sandals would hurt my feet. These are the best pair!!!",238.0,Woman's
56,Womens-sandals,Bigmona,27/05/2025,4 star rating,Too Small,Stylish,Verified Buyer,Cute Shoes But Run Short,"I love, love these shoes but the size 11 were too short (I usually wear 10. 5 or 11) I am disappointed but that’s ok",116.0,Woman's
57,Womens-sandals,Bigmona,15/05/2025,5 star rating,True to size,Not specified,Verified Buyer,Very comfortable,"I was really on the fence about buying these because I don’t like anything too chunky but once I put them on I fell in love. Super comfortable, add a little bit of height and go with everything. Definitely not too chunky. Perfect",229.0,Woman's
58,Womens-sandals,Bigmona,11/06/2025,5 star rating,Big,"Comfortable, Stylish, Quality, Value",Verified Buyer,What more could you ask for,"Stylish, comfortable, and affordable. The perfect summer sandal.",64.0,Woman's
59,Womens-sandals,Bigmona,11/06/2025,3 star rating,Small,Stylish,Verified Buyer,They’re cute,They’re super cute. I think they run small & aren’t good for a lot of walking.,78.0,Woman's
60,Womens-sandals,Bigmona,24/05/2025,4 star rating,True to size,Comfortable,Verified Buyer,So comfortable,"Love these, however I have a narrow foot and I have to strap it as far as it will go and it kind of hangs down a bit. But other than that love it!",146.0,Woman's
61,Womens-sandals,Bigmona,13/06/2025,3 star rating,Too Small,Not specified,Verified Buyer,Sizing small,"I wear a 9. 5, the shoes were too small.",40.0,Woman's
62,Womens-sandals,Bigmona,14/05/2025,5 star rating,Too Big,Not specified,Verified Buyer,Outstanding summer sandals,"Love this show! Comfort, style and quality product! My only drawback is that I have a high instep, so the velcro strap could've been longer.",140.0,Woman's
63,Womens-sandals,Bigmona,19/04/2025,2 star rating,Small,Not specified,Verified Buyer,Cute but doesn’t fit at all,"Shoe is very cute, but it runs extremely small. I am a true 8. 5 and I couldn’t get my foot into the shoe. If you open up the Velcro on top to make it fit, you can’t close it all the way for it to match back up. I don’t have wide feet either.",242.0,Woman's
64,Womens-sandals,Bigmona,18/06/2025,5 star rating,Too Big,"Quality, Stylish, Comfortable",Verified Buyer,Love these shoes,Love this shoe! So cute and comfy!,34.0,Woman's
65,Womens-sandals,Bigmona,22/05/2025,4 star rating,Small,"Quality, Stylish",Verified Buyer,The shoes are very cute.,"The shoes are very cute. I just wish it was wider for the wide feet cuties. Otherwise, the shoe is cute, just not wide enough.",126.0,Woman's
66,Womens-sandals,Bigmona,29/05/2025,5 star rating,True to size,Comfortable,Verified Buyer,Amazing,I love ❤️,9.0,Woman's
67,Womens-sandals,Bigmona,21/06/2025,5 star rating,True to size,"Quality, Stylish, Comfortable",Verified Buyer,Great Shoes!,So very comfortable!,20.0,Woman's
68,Womens-sandals,Bigmona,25/05/2025,5 star rating,Big,"Comfortable, Quality, Stylish, Value",Verified Buyer,Love the style,I was drawn in by the design of the shoe and I was pleased at how comfortable they are as well!,95.0,Woman's
69,Womens-sandals,Bigmona,22/05/2025,4 star rating,Too Small,Stylish,Verified Buyer,Love these!,Love these but they do run a full size small if not a size and a half small. Size up!,85.0,Woman's
70,Womens-sandals,Bigmona,14/06/2025,4 star rating,Not specified,Not specified,Verified Reviewer,Super comfortable,Super comfortable & super cute but they do run a little small.,62.0,Woman's
71,Womens-sandals,Bigmona,27/05/2025,5 star rating,True to size,"Value, Quality, Stylish",Verified Buyer,PERFECT,I love these perfect summer and spring shoes!,45.0,Woman's
72,Womens-sandals,Bigmona,12/06/2025,5 star rating,Small,"Value, Stylish, Quality",Verified Buyer,Love them,"Love them,i would buy again",27.0,Woman's
73,Womens-sandals,Bigmona,15/05/2025,5 star rating,Not specified,Not specified,Verified Buyer,Big Mona natural raffia,Cute and comfy. Good quality . Wouild recommend. .,50.0,Woman's
74,Womens-sandals,Bigmona,23/05/2025,5 star rating,Too Big,"Stylish, Comfortable",Verified Buyer,Not normal size,I normally wear a 8. 5 and these were more of a size 8.,55.0,Woman's
75,Womens-sandals,Bigmona,16/05/2025,3 star rating,Too Small,Not specified,Verified Buyer,"Love the style, but it","Love the style, but it runs a little small. I’m usually a 7 and sized up to a 7. 5.",83.0,Woman's
76,Womens-sandals,Bigmona,12/06/2025,5 star rating,Small,"Stylish, Quality",Verified Buyer,Love them,"Very comfy ,love them",21.0,Woman's
77,Womens-sandals,Bigmona,14/05/2025,5 star rating,Not specified,Not specified,Verified Buyer,Buy them !!!,Good quality and comfy also half size up,40.0,Woman's
78,Womens-sandals,Bigmona,23/05/2025,5 star rating,True to size,Comfortable,Verified Buyer,So beautiful and comfortable,fits perfectly well i love it can’t wait to wear,48.0,Woman's
79,Womens-sandals,Bigmona,05/05/2025,5 star rating,True to size,Not specified,Verified Buyer,Cute with shorts or a dress,Love theses shoes. Just got them and have only worn twice but these will definitely be my go to summer shoe.,108.0,Woman's
80,Womens-sandals,Bigmona,31/03/2025,5 star rating,Not specified,Not specified,Verified Reviewer,Wide feet? Try them!,"They're not for people with wide feet, but if you want to take a risk, order a size up. I have average-wide feet. I usually wear an 8 in sandals or heels and an 8. 5 in boots or sneakers. I ordered a 9 and they fit well, but the velcro straps are short at the top and don't close completely, so they're",302.0,Woman's
81,Womens-sandals,Bigmona,31/05/2025,5 star rating,True to size,Stylish,Verified Buyer,Sandles,Stylish and comfortable,23.0,Woman's
82,Womens-sandals,Bigmona,27/05/2025,5 star rating,Big,Comfortable,Verified Buyer,Good quality,Good quality,12.0,Woman's
83,Womens-sandals,Bigmona,08/04/2025,5 star rating,Not specified,Not specified,Verified Buyer,İ like it:hands_heart_light_skin_tone: thank you,İ like it:hands_heart_light_skin_tone: thank you,48.0,Woman's
84,Womens-sandals,Bigmona,08/04/2025,5 star rating,Small,Not specified,Verified Buyer,Love it,I had to return to get a 10 instead of a 9. 5 but the 10 fits perfectly. It’s such a cute shoe- I’m excited to wear it once it gets warm enough outside!,152.0,Woman's
85,Womens-sandals,Bigmona,15/05/2025,5 star rating,True to size,Not specified,Verified Buyer,Run true to size,Great beautiful shoes,21.0,Woman's
86,Womens-sandals,Bigmona,08/05/2025,5 star rating,Small,Not specified,Verified Buyer,Great style & quality,Great style & quality,21.0,Woman's
87,Womens-sandals,Bigmona,10/05/2025,5 star rating,True to size,Not specified,Verified Buyer,Excellent,I love this shoes 😍,19.0,Woman's
88,Womens-sandals,Bigmona,08/04/2025,5 star rating,True to size,Not specified,Verified Buyer,Very cute,Love these cute sandals. They will go with many different outfits & that's what I was looking for neutral sandals,113.0,Woman's
89,Womens-sandals,Bigmona,10/05/2025,5 star rating,True to size,Not specified,Verified Buyer,So cute! Love them so,So cute! Love them so much!,27.0,Woman's
90,Womens-sandals,Bigmona,25/03/2025,4 star rating,True to size,Not specified,Verified Buyer,Cute chunky sandal,"Obsessed! I have these in the multi color and denim. They are very comfortable. Only con is the sole has a weird arch, maybe it’s just my foot?",143.0,Woman's
91,Womens-sandals,Bigmona,28/02/2025,5 star rating,True to size,Not specified,Verified Buyer,Super cute,I had foot surgery I was looking for something comfortable ! Totally love them !,80.0,Woman's
92,Womens-sandals,Bigmona,10/04/2025,5 star rating,Small,Not specified,Verified Buyer,Fun sandals - comfortable -,Fun sandals - comfortable - size up,35.0,Woman's
93,Womens-sandals,Bigmona,26/03/2025,5 star rating,Not specified,Not specified,Verified Buyer,Really nice shoes they are,Really nice shoes they are so comfortable Oder half size bigger,63.0,Woman's
94,Womens-sandals,Bigmona,02/03/2025,5 star rating,Too Big,Not specified,Verified Buyer,So versatile and comfortable!,"These sandals are so cute and feel like such great quality! I love how I can wear them all day long and not have any pain, and they go with everything!",151.0,Woman's
95,Womens-sandals,Bigmona,10/03/2025,4 star rating,True to size,Not specified,Unverified,break them in before using,At first you have to break them in and they will absolutely hurt your feet but after they're broken in they are the most beautiful sandles ! maybe break in before using !,170.0,Woman's
96,Womens-sandals,Bigmona,06/03/2025,4 star rating,True to size,Not specified,Verified Buyer,Beautiful Shoe!,Cute and versatile. I would give it a 5 star rating if the shoe was not heavy for my feet.,90.0,Woman's
97,Womens-sandals,Bigmona,09/04/2025,5 star rating,True to size,Not specified,Verified Buyer,Love!!!!,Love!!!!,8.0,Woman's
98,Womens-sandals,Bigmona,23/02/2025,5 star rating,Small,Not specified,Verified Buyer,They run small and aren’t,They run small and aren’t tts. Go half a size up. The leather is really soft.,77.0,Woman's
99,Womens-sandals,Bigmona,11/02/2025,4 star rating,True to size,Not specified,Verified Buyer,Shoes,"I like the shoes a lot. It’s comfy and stylish. It’s a good pair of shoes with pants, skirts and shorts!",104.0,Woman's
100,Womens-sandals,Bigmona,09/03/2025,5 star rating,True to size,Not specified,Verified Buyer,Great,Pretty colors and style,23.0,Woman's
101,Womens-sandals,Bigmona,09/03/2025,5 star rating,True to size,Not specified,Verified Buyer,Cute and comfy,Cute and comfy,14.0,Woman's
102,Womens-sandals,Bigmona,27/01/2025,5 star rating,True to size,Not specified,Verified Buyer,Buyyy,"Love, love, love! True to size and comfortable. Can’t wait to wear them on my trip.",83.0,Woman's
103,Womens-sandals,Bigmona,28/01/2025,5 star rating,True to size,Not specified,Verified Buyer,Hermosas me encantan las quiero,Hermosas me encantan las quiero todas son perfectas….,53.0,Woman's
104,Womens-sandals,Bigmona,28/01/2025,5 star rating,Too Big,Not specified,Verified Buyer,"It’s very comfortable, but it","It’s very comfortable, but it is a bit big for me .",51.0,Woman's
105,Womens-sandals,Bigmona,01/02/2025,5 star rating,Too Big,Not specified,Verified Buyer,Comfortable and cute,Comfortable and cute,20.0,Woman's
106,Womens-sandals,Bigmona,21/09/2024,5 star rating,True to size,Not specified,Verified Buyer,Gorgeous Platform Sandals,"I love these shoes!! I’ve been looking for the perfect pair of platform sandals and am ecstatic about my purchase of these. They are so cute! I have wider feet so the straps are a little snug, but not uncomfortable. When I purchased them they were on back order but they arrived early.",285.0,Woman's
107,Womens-sandals,Bigmona,16/11/2024,5 star rating,Small,Not specified,Verified Buyer,I'm absolutely obsessed with these,These have been cute with every outfit - the different colors and textures compliments so many styles - I absolutely love them ! The only thing that could be better is if they had arch support - but otherwise perfect,216.0,Woman's
108,Womens-sandals,Bigmona,30/10/2024,5 star rating,True to size,Not specified,Verified Buyer,Requirement For Long Wide Pants,"These sandals gave me the height needed for wide structure pants not to drag on the floor (for example MYOUTFITONLINE black sweat pants). Im 5’5 so the boost is needed to fit in with medium-sized models. 
Also, measure your feet before ordering. Im a size 7.5 for heels/tight shoes but i size up to a",300.0,Woman's
109,Womens-sandals,Bigmona,19/11/2024,5 star rating,True to size,Not specified,Verified Buyer,Super cute,My first pair was in black and I love them. So I bought a colorful pair. They are very comfortable and stylish.,111.0,Woman's
110,Womens-sandals,Bigmona,29/10/2024,5 star rating,True to size,Not specified,Verified Buyer,Not only are these the,"Not only are these the cutest shoes, they’re the most comfortable too and I get SO many compliments!!!!!! I love them so much that I bought a second pair and the ones in blue.",175.0,Woman's
111,Womens-sandals,Bigmona,30/09/2024,3 star rating,Too Small,Not specified,Verified Buyer,Cute but..,"I have a thick foot and although they are Velcro, if your foot doesn’t fit in the strap size the shoe looks off to me, my foot is not that big, but definitely doesn’t fit exactly, it’s uncomfortable. When I give myself more room the strap looks off and no longer cute. Just my preference, will be",296.0,Woman's
112,Womens-sandals,Bigmona,18/09/2024,5 star rating,Small,Not specified,Verified Buyer,Very chic!,I love the look of these shoes! I read other reviews before buying and went with the recommendation of sizing up if you have wide feet. I’m usually a 7 and a 7.5 was perfect! Love the slight height of these shoes. It gives me some pep in my step! Definitely get these in your wardrobe!,285.0,Woman's
113,Womens-sandals,Bigmona,21/10/2024,5 star rating,True to size,Not specified,Verified Buyer,Very impressed with the comfort,Very impressed with the comfort of the shoe! Definitely would purchase another color in this shoe.,98.0,Woman's
114,Womens-sandals,Bigmona,30/11/2024,5 star rating,Too Big,Not specified,Verified Buyer,I’m like 😀,I’m like 😀,10.0,Woman's
115,Womens-sandals,Bigmona,12/09/2024,5 star rating,True to size,Not specified,Verified Buyer,Love the fabric,Absolutely love the color!! It fits my foot good even though I sized up. I wear an 11 but ordered a 12 just in case it ran small like the heels do there’s a little room but nothing to complain about. I have the beige color in a size 11 and it fits perfect.,256.0,Woman's
116,Womens-sandals,Bigmona,02/09/2024,5 star rating,Too Big,Not specified,Verified Buyer,Very happy I finally decided,Very happy I finally decided to order this pair of sandals! Stylish and very comfortable. Works with both casual summer dresses as well as shorts and jeans. Just finished a trip to both Chicago and Boston and wore them almost continuously while exploring the streets of both cities! I have wider feet,300.0,Woman's
117,Womens-sandals,Bigmona,05/12/2024,5 star rating,Too Big,Not specified,Verified Buyer,I love it,I love it,9.0,Woman's
118,Womens-sandals,Bigmona,30/11/2024,5 star rating,Too Big,Not specified,Verified Buyer,Is ok 👍,Is ok 👍,7.0,Woman's
119,Womens-sandals,Bigmona,09/10/2024,5 star rating,True to size,Not specified,Verified Buyer,Great sandals!! I would like,Great sandals!! I would like to buy more items. They are very comfortable and stylish.,86.0,Woman's
120,Womens-sandals,Bigmona,27/07/2024,5 star rating,Small,Not specified,Unverified,Cute chunky sandals,Love these! Cute chunky look. They run small. I usually wear in 9 in Steve Madden and had to return for 9.5. I just wish the white raffia was more durable because it already looks a little fuzzy and shows a little wear after wearing them twice. Probably choose a different color if you want to wear every,304.0,Woman's
121,Womens-sandals,Bigmona,04/09/2024,5 star rating,Too Big,Not specified,Verified Buyer,Classy shoes.,"Love love love. 
Run true to size and they just make me fell “classy “ when I wear them. 
I’m 72 but have no problem with the height",132.0,Woman's
122,Womens-sandals,Bigmona,30/07/2024,5 star rating,True to size,Not specified,Verified Buyer,Stylish and comfortable,"I got these online in a size 12 after my daughter saw them in a store where the women sizes stopped at 10. She loves them - super comfortable, a style that is feminine but fierce, platform soles which add to her already considerable height. Thank you for making this gorgeous glamazon sandal! Would definitely",309.0,Woman's
123,Womens-sandals,Bigmona,05/09/2024,5 star rating,Small,Not specified,Verified Buyer,Review,"Love the shoe! Runs very small. Recommend a Whole size up. Normally a size 8, had to get a 9.",93.0,Woman's
124,Womens-sandals,Bigmona,11/09/2024,5 star rating,Small,Not specified,Verified Buyer,I’m size 6 but for,I’m size 6 but for better Comfort I should when up size 6 1/2,61.0,Woman's
125,Womens-sandals,Bigmona,02/08/2024,5 star rating,Not specified,Not specified,Verified Buyer,The best purchase I've ever,"The best purchase I've ever made, versatile and very comfortable, right size",76.0,Woman's
126,Womens-sandals,Bigmona,10/06/2024,5 star rating,True to size,Not specified,Verified Buyer,Love them.,They are so great. I wear them to work they are very comfortable on my feet. The leather is very good quality and the platforms give me a lot of high. Thinking of getting more in a different color. Ordering on the website is very easy and the shipping was fast too.,265.0,Woman's
127,Womens-sandals,Bigmona,26/08/2024,5 star rating,True to size,Not specified,Verified Buyer,Love!!!,I love these sandals!! Second pair purchased. I have two others in my cart!! I want them in every color!!,105.0,Woman's
128,Womens-sandals,Bigmona,16/08/2024,5 star rating,True to size,Not specified,Verified Buyer,Love!❤️,Love these! So comfortable and so on trend!,43.0,Woman's
129,Womens-sandals,Bigmona,11/07/2024,5 star rating,Small,Not specified,Verified Buyer,Run small. Happy with purchase.,"Comfortable! Runs small. I’m usually size 8, for these in 8.5 thanks to other reviewers recommendations. So glad I listened and sized up. 8.5 just fits. Maybe 9 would been better? But 8.5 fits.",193.0,Woman's
130,Womens-sandals,Bigmona,03/07/2024,4 star rating,Small,Not specified,Verified Buyer,Comfy and cute,"These are very cute and comfy. I listened to the reviews and went a half size up and it was perfect (normally an 8).My only nitpick feedback would be that they squeak, the cushioning is great but don't seem to form as well to my feet like the black ones. Perhaps, I just need to break them in more. Overall",306.0,Woman's
