review_id,subcategory,master_name,date,score,size,experience,verified,header,text,review_length,main_category,bert_sentiment,bert_score,mismatch,detected_aspects,topic,topic_prob
13,Womens-sandals,Linear,16/04/2025,5.0,True to size,Not specified,Verified Buyer,Must have,An absolute must-buy! Super versatile — you can dress them up or down with ease. They’re incredibly comfortable too. Highly recommend!,134.0,Woman's,5.0,0.9836326241493225,False,"['comfort', 'style_and_appearance', 'purchase_experience', 'meta_terms']",-1,0.0
14,Womens-sandals,Linear,10/05/2025,5.0,True to size,Not specified,Unverified,Buy them now!,"These are great sandals for the summer! I was skeptical at first because I have small, narrow feet. But it fits perfect! The straps are adjustable that I can easily tighten. Soo worth it!",187.0,Woman's,5.0,0.8455122113227844,False,"['size_and_fit', 'comfort', 'type_of_shoe', 'purchase_experience', 'specific_parts', 'price_and_value', 'meta_terms']",3,0.8325282266674321
15,Womens-sandals,Linear,08/05/2025,5.0,Too Big,Not specified,Verified Buyer,Cute sandals,"The sandal is cute and definitely comfortable to wear all day, and it isn’t heavy on the foot.",94.0,Woman's,4.0,0.5497113466262817,True,"['comfort', 'style_and_appearance', 'type_of_shoe', 'wearability', 'meta_terms']",8,1.0
16,Womens-sandals,Linear,05/06/2025,5.0,Too Big,"Quality, Stylish, Comfortable",Verified Buyer,Very comfortable and stylish.,Very comfortable and stylish.,29.0,Woman's,5.0,0.6522905230522156,False,"['comfort', 'style_and_appearance', 'meta_terms']",67,0.5280056372029198
17,Womens-sandals,Linear,22/06/2025,5.0,True to size,"Comfortable, Stylish",Verified Reviewer,Statement sandals,I get compliments everytime I wear them! They are super comfy and so stylish!,77.0,Woman's,5.0,0.8839338421821594,False,"['comfort', 'style_and_appearance', 'wearability', 'meta_terms']",-1,0.0
18,Womens-sandals,Linear,11/05/2025,5.0,Not specified,Not specified,Verified Reviewer,Stunning,These sandals are stunning! Cannot wait to get them! So excited!,64.0,Woman's,5.0,0.9384984374046326,False,['type_of_shoe'],3,1.0
19,Womens-sandals,Linear,07/05/2025,5.0,Not specified,Not specified,Verified Reviewer,Love this sandal but size up!,I'm usually a 9. 5 and def needed the size 10. Very comfortable and get lots of compliments.,92.0,Woman's,4.0,0.4748878479003906,True,"['size_and_fit', 'comfort', 'meta_terms']",1,1.0
20,Womens-sandals,Linear,19/03/2025,4.0,Small,Not specified,Verified Buyer,Sooooo cute,"Love these sandals Must buy ladies.
 I always have to size up in Steve Madden because my feet are wide.",103.0,Woman's,5.0,0.8769054412841797,True,"['size_and_fit', 'comfort', 'type_of_shoe', 'purchase_experience']",2,1.0
21,Womens-sandals,Linear,29/03/2025,5.0,True to size,Not specified,Unverified,Wow,Woow. The quality is super. Very beautiful,42.0,Woman's,5.0,0.828092634677887,False,"['style_and_appearance', 'quality_and_material']",40,0.8737331991397468
23,Womens-sandals,Bigschmonj,20/06/2025,5.0,Too Big,"Comfortable, Stylish, Quality, Value",Verified Buyer,I love them. At first,"I love them. At first I was concerned about my pinky toe. However the longer I wore them, the more comfortable they became.",123.0,Woman's,5.0,0.7433579564094543,False,"['comfort', 'purchase_experience', 'wearability', 'specific_parts', 'meta_terms']",6,0.9330603759677606
24,Womens-sandals,Bigschmonj,15/06/2025,1.0,Big,"Quality, Comfortable",Verified Buyer,Shoe is good quality however,"Shoe is good quality however every time I walk on them, my feet slip out of the shoe no matter how I tighten the straps",119.0,Woman's,3.0,0.5849484205245972,True,"['size_and_fit', 'comfort', 'quality_and_material', 'type_of_shoe', 'wearability', 'specific_parts', 'meta_terms']",6,0.8707605726172742
25,Womens-sandals,Bigschmonj,03/06/2025,5.0,True to size,"Quality, Stylish, Comfortable",Verified Buyer,Super Cute and Comfy!,I am so glad I purchased these shoes. They are easy to slip on and pair with any outfit. I have already received compliments. They are also comfortable and true to size.,169.0,Woman's,5.0,0.8872179985046387,False,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'meta_terms']",-1,0.0
26,Womens-sandals,Bigschmonj,12/06/2025,3.0,True to size,Value,Verified Buyer,Cute style,"I like the style, color, and feel. However the straps are not comfortable and dig into my foot.",95.0,Woman's,3.0,0.699166476726532,False,"['comfort', 'style_and_appearance', 'specific_parts', 'meta_terms']",-1,0.0
27,Womens-sandals,Bigschmonj,16/06/2025,3.0,True to size,"Comfortable, Stylish",Verified Buyer,Cute,While these are cute they are also comfy. A bit clunky but are stylish as well. Have had many compliments on my jelly shoes!,124.0,Woman's,4.0,0.6285324692726135,True,"['comfort', 'style_and_appearance', 'type_of_shoe']",26,1.0
28,Womens-sandals,Bigschmonj,12/06/2025,5.0,True to size,"Stylish, Quality, Value, Comfortable",Verified Buyer,Happy tears,"Love them , gives you a inch or two in height , very comfortable dont slip off your feet",88.0,Woman's,5.0,0.8104800581932068,False,"['comfort', 'purchase_experience', 'meta_terms']",-1,0.0
29,Womens-sandals,Bigschmonj,22/05/2025,5.0,Too Small,"Value, Quality, Stylish, Comfortable",Verified Buyer,I just love it !!,I just love it !! They are very soft and cute 🥰,47.0,Woman's,5.0,0.8718865513801575,False,"['comfort', 'style_and_appearance', 'purchase_experience']",18,1.0
30,Womens-sandals,Bigschmonj,06/06/2025,4.0,True to size,Stylish,Verified Buyer,Beautiful shoes,"I love the shoes, the 4/5 rating is because of the comfort, it's not that comfortable",85.0,Woman's,4.0,0.9669088125228882,False,"['comfort', 'type_of_shoe', 'purchase_experience', 'meta_terms']",61,0.36749906142186417
31,Womens-sandals,Bigschmonj,11/06/2025,5.0,Big,"Value, Stylish, Comfortable, Quality",Verified Buyer,What more could you ask for,"Stylish, comfortable, and affordable. Perfect summer shoe.",58.0,Woman's,5.0,0.8331738114356995,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'price_and_value', 'meta_terms']",55,0.9011262916762532
32,Womens-sandals,Bigschmonj,05/06/2025,5.0,Too Big,Comfortable,Verified Buyer,Very comfortable sandals. Yes I,Very comfortable sandals. Yes I recommend this product.,55.0,Woman's,5.0,0.6656767725944519,False,"['comfort', 'type_of_shoe', 'purchase_experience', 'meta_terms']",3,1.0
33,Womens-sandals,Bigschmonj,27/05/2025,5.0,True to size,"Value, Stylish, Quality, Comfortable",Verified Buyer,Love the color,"Like walking on air. Love the color, style, and fit. Wish it came in more vibrant colors",88.0,Woman's,4.0,0.5609389543533325,True,"['size_and_fit', 'style_and_appearance', 'purchase_experience', 'wearability']",-1,0.0
34,Womens-sandals,Bigschmonj,04/06/2025,5.0,True to size,"Quality, Value, Comfortable, Stylish",Verified Buyer,S,Beautiful and comfortable,25.0,Woman's,5.0,0.7458209991455078,False,"['comfort', 'style_and_appearance', 'meta_terms']",39,1.0
35,Womens-sandals,Bigschmonj,17/05/2025,5.0,Not specified,Not specified,Verified Reviewer,Love,Love! They are super comfortable. Walked in them for a few hours at foodieland and my feet didnt hurt at all!,109.0,Woman's,5.0,0.9173648357391357,False,"['comfort', 'purchase_experience', 'wearability', 'meta_terms']",-1,0.0
36,Womens-sandals,Bigschmonj,17/04/2025,3.0,Big,Not specified,Verified Buyer,Cute but not for me,They didn’t look good on my feet and they were too big,54.0,Woman's,2.0,0.5064857006072998,True,"['size_and_fit', 'comfort', 'style_and_appearance']",-1,0.0
37,Womens-sandals,Bigschmonj,01/03/2025,5.0,Too Big,Not specified,Verified Buyer,Hermosas,"Muy cómodas, corren a la talla exacta",37.0,Woman's,5.0,0.6843012571334839,False,[],12,0.7344436401754636
39,Womens-sandals,Bigmona,29/05/2025,5.0,True to size,Comfortable,Verified Buyer,Love!,I love these. True to size. I have a very narrow foot and they are able to be adjusted to be comfortable. Only dislike is the foot bed material. It makes a tooting sound when u walk after wearing for a while. I put a couple strips of kt tape inside the shoe and the texture of the tape keeps it from making,306.0,Woman's,4.0,0.5614857077598572,True,"['size_and_fit', 'comfort', 'quality_and_material', 'type_of_shoe', 'purchase_experience', 'wearability', 'meta_terms']",-1,0.0
40,Womens-sandals,Bigmona,18/06/2025,5.0,True to size,"Comfortable, Stylish",Verified Buyer,Perfect Purchase,Purchased for my girlfriend as a surprise birthday gift and she absolutely LOVED them. She wore them several times during her birthday weekend in spite of the fact that she had brought other pairs of shoes to wear with specific outfits. She kept saying they go with almost every outfit she brought. Overall,306.0,Woman's,4.0,0.5029377937316895,True,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability', 'meta_terms']",-1,0.0
41,Womens-sandals,Bigmona,15/06/2025,4.0,Small,"Comfortable, Stylish, Quality",Verified Buyer,Cute Summer Vibes!,"Love the shoes! They're so cute. . . pays ""homage"" to the little girl that used to wear those as a kid! great upgrade! Always recommend sizing up a half size with some Steve Madden shoes tho! Passing on the info fyi!🫡",217.0,Woman's,5.0,0.8923627734184265,True,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability']",2,1.0
42,Womens-sandals,Bigmona,28/05/2025,5.0,True to size,"Comfortable, Value, Stylish, Quality",Verified Buyer,BIGMONA NATURAL RAFFIA,The BIGMONA NATURAL RAFFIA sandals are really cute and versatile - perfect for casual wear but stylish enough to dress up. I'm excited to wear them! The only issue is that the strap across the top of the foot isn't adjustable and runs quite short. I wouldn't recommend these if you have wide feet or need,304.0,Woman's,4.0,0.6525487899780273,True,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability', 'specific_parts', 'meta_terms']",4,0.9747965460048251
43,Womens-sandals,Bigmona,19/06/2025,5.0,True to size,"Stylish, Comfortable, Value, Quality",Verified Buyer,Perfect,They are so cute. I get compliments on them constantly! Light weight and good for narrow feet.,94.0,Woman's,5.0,0.7325451970100403,False,"['size_and_fit', 'comfort', 'style_and_appearance']",-1,0.0
44,Womens-sandals,Bigmona,12/06/2025,5.0,True to size,"Stylish, Comfortable, Quality",Verified Buyer,Shoe Fanatic,I truly love these shoes they go with so many outfits. The only downside is that I wish I had gotten them in a 10 cause they run a whole size small. Im normally a 9 however I ordered a 9. 5 because my regular Mona sandals run a half size smaller. Oh well I still like them.,273.0,Woman's,4.0,0.8630080223083496,True,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'meta_terms']",1,1.0
45,Womens-sandals,Bigmona,19/06/2025,4.0,True to size,"Quality, Comfortable, Stylish",Verified Buyer,Super comfy and stylish,These shoes are true to size. They are comfortable and perfect for vacation or summer. The bands make it perfect to adjust. The platform gives me height for long pants when I don’t want to wear heels.,200.0,Woman's,5.0,0.7298745512962341,True,"['size_and_fit', 'comfort', 'type_of_shoe', 'purchase_experience', 'wearability', 'meta_terms']",15,0.9831052950529169
46,Womens-sandals,Bigmona,01/06/2025,5.0,Not specified,Not specified,Verified Buyer,Great product,"I love these sandals. They are so comfortable, easy to put on due to the velcro straps and look wonderful with everything. The best sandal to wear for the entire summer!",169.0,Woman's,5.0,0.9396329522132874,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability', 'specific_parts', 'meta_terms']",8,0.3241556573668179
47,Womens-sandals,Bigmona,06/06/2025,5.0,True to size,"Stylish, Comfortable, Quality, Value",Verified Buyer,So comfortable,The sandals are really comfortable and stylish. My favorite pair for this summer. The neutral color goes with everything. I love it!,132.0,Woman's,5.0,0.9174758195877075,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'meta_terms']",3,1.0
48,Womens-sandals,Bigmona,17/06/2025,5.0,True to size,"Quality, Comfortable, Stylish, Value",Verified Buyer,It looks heavy but very,"It looks heavy but very light when I use it. It is true to size. I have a lot of compliments , one time someone stop me to ask where I bought this sandal.",154.0,Woman's,4.0,0.5291998982429504,True,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'meta_terms']",8,0.32307284914662543
49,Womens-sandals,Bigmona,18/06/2025,4.0,True to size,Comfortable,Verified Buyer,Comfortable sandal!,Very comfortable and true to size. I wear a size five and they fit perfect! Would recommend these sandals.,106.0,Woman's,5.0,0.8470796942710876,True,"['size_and_fit', 'comfort', 'type_of_shoe', 'purchase_experience', 'wearability', 'meta_terms']",3,1.0
50,Womens-sandals,Bigmona,14/06/2025,5.0,Small,Stylish,Verified Buyer,"Cute, a little heavy, not the most comfortable",On trend. Runs a tad small. Heavy. Clunky. Uncomfortable because the material is rough on the skin,98.0,Woman's,3.0,0.5229459404945374,True,"['size_and_fit', 'comfort', 'quality_and_material', 'meta_terms']",33,0.4922800565407264
51,Womens-sandals,Bigmona,21/06/2025,5.0,Small,"Stylish, Comfortable, Quality",Verified Reviewer,Great summer sandals,Comfortable and trendy. Haven't worn yet. Only downside is runs half size small. Had to order 9 instead of 8. 5.,112.0,Woman's,4.0,0.7863937020301819,True,"['size_and_fit', 'comfort', 'meta_terms']",-1,0.0
52,Womens-sandals,Bigmona,11/06/2025,5.0,Too Big,"Comfortable, Quality, Value, Stylish",Verified Buyer,Cute and comfy,Love the style and they are comfortable. Every time I wear them I get asked where I bought them. They are super cute!,117.0,Woman's,5.0,0.8063939213752747,False,"['comfort', 'style_and_appearance', 'purchase_experience', 'wearability', 'meta_terms']",-1,0.0
53,Womens-sandals,Bigmona,17/06/2025,5.0,True to size,Comfortable,Verified Buyer,Super comfortable,I have gotten many compliments on these shoes. Extremely comfortable and seem to form to your feet.,99.0,Woman's,5.0,0.7916778922080994,False,"['comfort', 'type_of_shoe', 'meta_terms']",106,1.0
54,Womens-sandals,Bigmona,30/05/2025,5.0,Too Big,"Stylish, Comfortable, Value, Quality",Verified Buyer,The perfect summer sandal. So,The perfect summer sandal. So comfy and cute. You can wear with just about anything. 10 out of 10 recommend buying!!,116.0,Woman's,5.0,0.9661303162574768,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability']",8,1.0
55,Womens-sandals,Bigmona,29/05/2025,5.0,Not specified,Not specified,Unverified,The BEST sandals!,"I absolutely love these shoes. They are so comfortable. I went to the zoo and wore these sandals, I was very comfortable the entire day! I was very surprised, as usually thicker wedge sandals would hurt my feet. These are the best pair!!!",238.0,Woman's,5.0,0.9582093954086304,False,"['comfort', 'type_of_shoe', 'purchase_experience', 'wearability', 'meta_terms']",106,1.0
56,Womens-sandals,Bigmona,27/05/2025,4.0,Too Small,Stylish,Verified Buyer,Cute Shoes But Run Short,"I love, love these shoes but the size 11 were too short (I usually wear 10. 5 or 11) I am disappointed but that’s ok",116.0,Woman's,3.0,0.5200865864753723,True,"['size_and_fit', 'type_of_shoe', 'purchase_experience', 'wearability']",1,1.0
57,Womens-sandals,Bigmona,15/05/2025,5.0,True to size,Not specified,Verified Buyer,Very comfortable,"I was really on the fence about buying these because I don’t like anything too chunky but once I put them on I fell in love. Super comfortable, add a little bit of height and go with everything. Definitely not too chunky. Perfect",229.0,Woman's,5.0,0.8589348793029785,False,"['comfort', 'purchase_experience', 'meta_terms']",16,0.9281493535146306
58,Womens-sandals,Bigmona,11/06/2025,5.0,Big,"Comfortable, Stylish, Quality, Value",Verified Buyer,What more could you ask for,"Stylish, comfortable, and affordable. The perfect summer sandal.",64.0,Woman's,5.0,0.8621771931648254,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'price_and_value', 'meta_terms']",8,1.0
59,Womens-sandals,Bigmona,11/06/2025,3.0,Small,Stylish,Verified Buyer,They’re cute,They’re super cute. I think they run small & aren’t good for a lot of walking.,78.0,Woman's,3.0,0.45380741357803345,False,"['size_and_fit', 'style_and_appearance', 'wearability', 'meta_terms']",34,0.6695574572746548
60,Womens-sandals,Bigmona,24/05/2025,4.0,True to size,Comfortable,Verified Buyer,So comfortable,"Love these, however I have a narrow foot and I have to strap it as far as it will go and it kind of hangs down a bit. But other than that love it!",146.0,Woman's,4.0,0.7430453300476074,False,"['size_and_fit', 'purchase_experience', 'specific_parts']",4,0.5171717979846843
61,Womens-sandals,Bigmona,13/06/2025,3.0,Too Small,Not specified,Verified Buyer,Sizing small,"I wear a 9. 5, the shoes were too small.",40.0,Woman's,2.0,0.4768383502960205,True,"['size_and_fit', 'type_of_shoe', 'wearability']",1,1.0
62,Womens-sandals,Bigmona,14/05/2025,5.0,Too Big,Not specified,Verified Buyer,Outstanding summer sandals,"Love this show! Comfort, style and quality product! My only drawback is that I have a high instep, so the velcro strap could've been longer.",140.0,Woman's,4.0,0.7371283173561096,True,"['comfort', 'style_and_appearance', 'quality_and_material', 'purchase_experience', 'wearability', 'specific_parts']",87,1.0
63,Womens-sandals,Bigmona,19/04/2025,2.0,Small,Not specified,Verified Buyer,Cute but doesn’t fit at all,"Shoe is very cute, but it runs extremely small. I am a true 8. 5 and I couldn’t get my foot into the shoe. If you open up the Velcro on top to make it fit, you can’t close it all the way for it to match back up. I don’t have wide feet either.",242.0,Woman's,3.0,0.5091314911842346,True,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe']",1,1.0
64,Womens-sandals,Bigmona,18/06/2025,5.0,Too Big,"Quality, Stylish, Comfortable",Verified Buyer,Love these shoes,Love this shoe! So cute and comfy!,34.0,Woman's,5.0,0.944850742816925,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience']",-1,0.0
65,Womens-sandals,Bigmona,22/05/2025,4.0,Small,"Quality, Stylish",Verified Buyer,The shoes are very cute.,"The shoes are very cute. I just wish it was wider for the wide feet cuties. Otherwise, the shoe is cute, just not wide enough.",126.0,Woman's,3.0,0.5437279939651489,True,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe']",4,0.5996310811197967
68,Womens-sandals,Bigmona,25/05/2025,5.0,Big,"Comfortable, Quality, Stylish, Value",Verified Buyer,Love the style,I was drawn in by the design of the shoe and I was pleased at how comfortable they are as well!,95.0,Woman's,5.0,0.5656512975692749,False,"['comfort', 'style_and_appearance', 'type_of_shoe', 'meta_terms']",25,0.7566640731649809
69,Womens-sandals,Bigmona,22/05/2025,4.0,Too Small,Stylish,Verified Buyer,Love these!,Love these but they do run a full size small if not a size and a half small. Size up!,85.0,Woman's,4.0,0.4537186920642853,False,"['size_and_fit', 'purchase_experience']",32,0.7051678567867009
70,Womens-sandals,Bigmona,14/06/2025,4.0,Not specified,Not specified,Verified Reviewer,Super comfortable,Super comfortable & super cute but they do run a little small.,62.0,Woman's,4.0,0.7620580196380615,False,"['size_and_fit', 'comfort', 'style_and_appearance', 'meta_terms']",-1,0.0
71,Womens-sandals,Bigmona,27/05/2025,5.0,True to size,"Value, Quality, Stylish",Verified Buyer,PERFECT,I love these perfect summer and spring shoes!,45.0,Woman's,5.0,0.939635694026947,False,"['type_of_shoe', 'purchase_experience']",55,1.0
72,Womens-sandals,Bigmona,12/06/2025,5.0,Small,"Value, Stylish, Quality",Verified Buyer,Love them,"Love them,i would buy again",27.0,Woman's,5.0,0.807152509689331,False,['purchase_experience'],10,1.0
73,Womens-sandals,Bigmona,15/05/2025,5.0,Not specified,Not specified,Verified Buyer,Big Mona natural raffia,Cute and comfy. Good quality . Wouild recommend. .,50.0,Woman's,5.0,0.4883904457092285,False,"['comfort', 'style_and_appearance', 'quality_and_material', 'purchase_experience']",14,0.4587506163560965
74,Womens-sandals,Bigmona,23/05/2025,5.0,Too Big,"Stylish, Comfortable",Verified Buyer,Not normal size,I normally wear a 8. 5 and these were more of a size 8.,55.0,Woman's,2.0,0.3626280426979065,True,"['size_and_fit', 'wearability', 'meta_terms']",1,1.0
75,Womens-sandals,Bigmona,16/05/2025,3.0,Too Small,Not specified,Verified Buyer,"Love the style, but it","Love the style, but it runs a little small. I’m usually a 7 and sized up to a 7. 5.",83.0,Woman's,4.0,0.5330726504325867,True,"['size_and_fit', 'style_and_appearance', 'purchase_experience']",1,1.0
76,Womens-sandals,Bigmona,12/06/2025,5.0,Small,"Stylish, Quality",Verified Buyer,Love them,"Very comfy ,love them",21.0,Woman's,5.0,0.7435047626495361,False,"['comfort', 'purchase_experience']",-1,0.0
77,Womens-sandals,Bigmona,14/05/2025,5.0,Not specified,Not specified,Verified Buyer,Buy them !!!,Good quality and comfy also half size up,40.0,Woman's,5.0,0.5551905035972595,False,"['size_and_fit', 'comfort', 'quality_and_material']",-1,0.0
78,Womens-sandals,Bigmona,23/05/2025,5.0,True to size,Comfortable,Verified Buyer,So beautiful and comfortable,fits perfectly well i love it can’t wait to wear,48.0,Woman's,5.0,0.9245275259017944,False,"['size_and_fit', 'purchase_experience', 'wearability']",21,0.41236260223435295
79,Womens-sandals,Bigmona,05/05/2025,5.0,True to size,Not specified,Verified Buyer,Cute with shorts or a dress,Love theses shoes. Just got them and have only worn twice but these will definitely be my go to summer shoe.,108.0,Woman's,5.0,0.802227795124054,False,"['comfort', 'type_of_shoe', 'purchase_experience']",55,1.0
80,Womens-sandals,Bigmona,31/03/2025,5.0,Not specified,Not specified,Verified Reviewer,Wide feet? Try them!,"They're not for people with wide feet, but if you want to take a risk, order a size up. I have average-wide feet. I usually wear an 8 in sandals or heels and an 8. 5 in boots or sneakers. I ordered a 9 and they fit well, but the velcro straps are short at the top and don't close completely, so they're",302.0,Woman's,3.0,0.5908527970314026,True,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability', 'specific_parts', 'meta_terms']",4,0.368914812024091
81,Womens-sandals,Bigmona,31/05/2025,5.0,True to size,Stylish,Verified Buyer,Sandles,Stylish and comfortable,23.0,Woman's,5.0,0.6013441681861877,False,"['comfort', 'style_and_appearance', 'meta_terms']",70,1.0
83,Womens-sandals,Bigmona,08/04/2025,5.0,Not specified,Not specified,Verified Buyer,İ like it:hands_heart_light_skin_tone: thank you,İ like it:hands_heart_light_skin_tone: thank you,48.0,Woman's,5.0,0.4592808187007904,False,[],-1,0.0
84,Womens-sandals,Bigmona,08/04/2025,5.0,Small,Not specified,Verified Buyer,Love it,I had to return to get a 10 instead of a 9. 5 but the 10 fits perfectly. It’s such a cute shoe- I’m excited to wear it once it gets warm enough outside!,152.0,Woman's,5.0,0.614822268486023,False,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'wearability']",1,1.0
85,Womens-sandals,Bigmona,15/05/2025,5.0,True to size,Not specified,Verified Buyer,Run true to size,Great beautiful shoes,21.0,Woman's,5.0,0.8343309760093689,False,"['style_and_appearance', 'type_of_shoe', 'purchase_experience']",-1,0.0
86,Womens-sandals,Bigmona,08/05/2025,5.0,Small,Not specified,Verified Buyer,Great style & quality,Great style & quality,21.0,Woman's,5.0,0.7796396613121033,False,"['style_and_appearance', 'quality_and_material', 'purchase_experience']",40,0.8656840657698636
88,Womens-sandals,Bigmona,08/04/2025,5.0,True to size,Not specified,Verified Buyer,Very cute,Love these cute sandals. They will go with many different outfits & that's what I was looking for neutral sandals,113.0,Woman's,5.0,0.806441068649292,False,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience', 'meta_terms']",3,1.0
89,Womens-sandals,Bigmona,10/05/2025,5.0,True to size,Not specified,Verified Buyer,So cute! Love them so,So cute! Love them so much!,27.0,Woman's,5.0,0.8992339372634888,False,"['style_and_appearance', 'purchase_experience']",10,1.0
90,Womens-sandals,Bigmona,25/03/2025,4.0,True to size,Not specified,Verified Buyer,Cute chunky sandal,"Obsessed! I have these in the multi color and denim. They are very comfortable. Only con is the sole has a weird arch, maybe it’s just my foot?",143.0,Woman's,4.0,0.7106443047523499,False,"['comfort', 'style_and_appearance', 'meta_terms']",11,0.7490086325090772
91,Womens-sandals,Bigmona,28/02/2025,5.0,True to size,Not specified,Verified Buyer,Super cute,I had foot surgery I was looking for something comfortable ! Totally love them !,80.0,Woman's,5.0,0.9296327233314514,False,"['comfort', 'style_and_appearance', 'purchase_experience', 'meta_terms']",-1,0.0
92,Womens-sandals,Bigmona,10/04/2025,5.0,Small,Not specified,Verified Buyer,Fun sandals - comfortable -,Fun sandals - comfortable - size up,35.0,Woman's,4.0,0.6067018508911133,True,"['size_and_fit', 'comfort', 'type_of_shoe', 'meta_terms']",3,1.0
93,Womens-sandals,Bigmona,26/03/2025,5.0,Not specified,Not specified,Verified Buyer,Really nice shoes they are,Really nice shoes they are so comfortable Oder half size bigger,63.0,Woman's,5.0,0.6370530724525452,False,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe', 'meta_terms']",5,0.8061128724158038
